pregunta,correcta,incorrecta1,incorrecta2,incorrecta3
¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi
¿Cuántos huesos tiene el cuerpo humano adulto?,206,208,300,195
¿Cuál es el símbolo químico del Oro?,Au,Ag,Fe,Or
¿Quién pintó 'La Noche Estrellada'?,Van Gogh,Picasso,Dalí,Da Vinci
¿Cuál es el país más grande del mundo?,Rusia,China,Canadá,EE.UU.
¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Marte,Tierra
¿En qué año llegó el hombre a la Luna?,1969,1970,1965,1972
¿Cuál es el mineral más duro del mundo?,Diamante,Cuarzo,Topacio,Hierro
¿Dónde se encuentra la Torre Eiffel?,París,Londres,Roma,Berlín
¿Cuál es el animal terrestre más rápido?,Guepardo,León,Caballo,Tigre
¿Qué gas respiramos principalmente?,Nitrógeno,Oxígeno,Hidrógeno,Helio
¿Quién escribió 'Don Quijote'?,Cervantes,Lope de Vega,García Lorca,Borges
¿Cuál es el océano más grande?,Pacífico,Atlántico,Índico,Ártico
¿Cuántos lados tiene un hexágono?,6,5,8,7
¿En qué continente está Egipto?,África,Asia,Europa,América
¿Cuál es la capital de Australia?,Canberra,Sídney,Melbourne,Perth
¿Quién es el fundador de Microsoft?,Bill Gates,Steve Jobs,Elon Musk,Zuckerberg
¿Cuál es el órgano más grande del cuerpo?,Piel,Hígado,Cerebro,Pulmón
¿Cuánto es la raíz cuadrada de 144?,12,14,10,11
¿Qué significa la sigla 'www'?,World Wide Web,World Web Wide,Web World Wide,Wide World Web
¿Cuál es la moneda del Reino Unido?,Libra esterlina,Euro,Dólar,Franco
¿Quién es el rey del pop?,Michael Jackson,Elvis Presley,Prince,Madonna
¿Cuál es el país más poblado de la Tierra?,India,China,EE.UU.,Indonesia
¿Cuántas patas tiene una araña?,8,6,10,12
¿En qué año comenzó la II Guerra Mundial?,1939,1945,1914,1940
¿Cuál es la montaña más alta del mundo?,Everest,K2,Aconcagua,Kilimanjaro
¿Quién descubrió América?,Cristóbal Colón,Américo Vespucio,Magallanes,Elcano
¿Cuál es el idioma oficial de Brasil?,Portugués,Español,Inglés,Francés
¿Qué vitamina nos da el sol?,Vitamina D,Vitamina C,Vitamina A,Vitamina B12
¿Cuál es el metal líquido a temperatura ambiente?,Mercurio,Plomo,Aluminio,Hierro
¿Quién pintó la Mona Lisa?,Da Vinci,Miguel Ángel,Rafael,Donatello
¿Cuál es el país con forma de bota?,Italia,España,Grecia,Portugal
¿Cuántos colores tiene el arcoíris?,7,6,5,8
¿Cuál es la capital de Alemania?,Berlín,Múnich,Hamburgo,Frankfurt
¿Qué instrumento toca Lisa Simpson?,Saxofón,Trompeta,Flauta,Violín
¿Cuál es el libro más vendido de la historia?,La Biblia,El Quijote,Harry Potter,El Principito
¿Cuántos minutos tiene un día?,1440,1200,3600,2400
¿En qué país se usó la primera bomba atómica?,Japón,Alemania,Rusia,EE.UU.
¿Cuál es el hueso más largo del cuerpo?,Fémur,Tibia,Húmero,Radio
¿Quién inventó la bombilla?,Thomas Edison,Nikola Tesla,Graham Bell,Newton
¿Cuál es la capital de Canadá?,Ottawa,Toronto,Montreal,Vancouver
¿Qué estudia la botánica?,Plantas,Animales,Rocas,Estrellas
¿Cuál es el animal que más muertes causa?,Mosquito,Tiburón,Serpiente,León
¿En qué año se hundió el Titanic?,1912,1905,1920,1898
¿Cuántos corazones tiene un pulpo?,3,1,2,4
¿Qué es el H2O?,Agua,Sal,Oxígeno,Hidrógeno
¿Cuál es el planeta rojo?,Marte,Júpiter,Saturno,Venus
¿Quién escribió Harry Potter?,J.K. Rowling,Tolkien,George R.R. Martin,Stephen King
¿Cuál es la capital de España?,Madrid,Barcelona,Sevilla,Valencia
¿Qué elemento químico es el 'O'?,Oxígeno,Oro,Osmio,Oliva
